,windspeed,airtemperature,relativehumidity,year,month,day,hour,minute,Seeing
4435,12.919399,7.173338,35.52275,2020,1,31,19,10,-0.23852009532718568
4436,13.455912000000001,7.15179,36.58779,2020,1,31,19,20,0.030923162341007653
4437,16.01896,7.2537956,34.251087,2020,1,31,19,30,0.26159926604844913
4438,15.579474,7.4024262,33.0618,2020,1,31,19,40,0.3084348784372802
4439,16.778657,7.3554797,33.81269,2020,1,31,19,50,0.37389938425508223
4440,16.142916,7.209785,34.65096,2020,1,31,20,0,0.32808845120400204
4441,17.035121,6.98322,37.74815,2020,1,31,20,10,0.3123215989846191
4442,17.312123999999997,6.890639,38.655262,2020,1,31,20,20,0.33448707421223794
4443,17.493463,6.930124,38.85417,2020,1,31,20,30,0.19739850275439455
4444,15.721132,6.7584386,40.99273,2020,1,31,20,40,0.11313959179970075
4445,15.252467,6.8280654,38.96857,2020,1,31,20,50,0.2267745981363494
4446,15.005075999999999,6.7976017,39.83151,2020,1,31,21,0,0.32431459750500374
4447,14.236360999999999,6.7121696,41.369152,2020,1,31,21,10,0.39394409339628395
4448,14.569474,6.719685,40.08829,2020,1,31,21,20,0.2991586113822409
4449,14.974172000000001,6.663455,41.51543,2020,1,31,21,30,0.5592640777409944
4450,14.868947,6.61475,41.37889,2020,1,31,21,40,0.5302242478952525
4451,16.532094,6.723408,40.27058,2020,1,31,21,50,0.5428986812351582
4452,13.223816,6.9215302,38.07323,2020,1,31,22,0,0.6248462964852252
4453,10.621989000000001,6.983399,36.92223,2020,1,31,22,10,0.7896651867978953
4454,8.015902,6.9409857,36.95314,2020,1,31,22,20,0.7278625676483979
4455,11.511964,7.008806,36.67007,2020,1,31,22,30,0.5921699016118733
4456,11.261513,7.1545568,35.02229,2020,1,31,22,40,0.59874599925598
4457,10.047661,7.16821,34.58343,2020,1,31,22,50,0.5886523032010507
4458,8.688098,7.166206,34.36666,2020,1,31,23,0,0.500404452673187
4459,8.277225,7.270765,33.13203,2020,1,31,23,10,0.48996623829752867
4460,7.146380000000001,7.2080827,33.42842,2020,1,31,23,20,0.6418136376844166
4461,8.708119,7.200382,33.86243,2020,1,31,23,30,0.7531958580055449
4462,7.51807,7.1399593,33.40192,2020,1,31,23,40,0.7293372879636976
4463,6.555956,7.187391,33.16125,2020,1,31,23,50,0.48267303234639847
4469,10.882393,7.249352,30.868431,2020,2,1,0,50,0.834538230001896
4470,10.689803999999999,7.246534,30.41468,2020,2,1,1,0,0.8242554191283361
4471,13.172379000000001,7.410473,29.0258,2020,2,1,1,10,0.7460967496258392
4472,14.339338,7.549146,28.10675,2020,2,1,1,20,0.7531460010672493
4473,15.414652,7.755991,26.978788,2020,2,1,1,30,0.6840812085461986
4474,14.025007,7.745506,27.12086,2020,2,1,1,40,0.7028499560213304
4475,15.378101,7.7279058,26.80496,2020,2,1,1,50,0.7075156797120138
4476,19.639951,7.785959,26.07822,2020,2,1,2,0,0.7340203737695251
4477,17.009095,7.826128,25.78719,2020,2,1,2,10,0.7657778715948527
4478,13.691116999999998,7.756048,25.8505,2020,2,1,2,20,0.9478213181687439
4479,15.148977,7.674456,26.08287,2020,2,1,2,30,0.9384987683509324
4480,16.528669999999998,7.662794,25.74205,2020,2,1,2,40,0.9394602339007975
4481,19.434391,7.6410136,25.91626,2020,2,1,2,50,0.9306695264196813
4482,20.962229999999998,7.6815352,25.27427,2020,2,1,3,0,0.7811580578826587
4483,22.13624,7.85846,23.746609,2020,2,1,3,10,0.8833671501058354
4484,20.974890000000002,7.6165257,25.76144,2020,2,1,3,20,0.7824070082808025
4485,19.727046,7.620438,25.322119,2020,2,1,3,30,0.938655241987745
4486,22.368850000000002,7.6899457,24.916311,2020,2,1,3,40,0.965032640911073
4487,16.964674,7.76351,24.304499,2020,2,1,3,50,0.9516896717083331
4488,15.721581,7.867382,23.728168,2020,2,1,4,0,1.108267487641786
4489,13.358096,7.761429,24.74656,2020,2,1,4,10,1.183359298356489
4490,14.341971000000001,7.80604,24.598549,2020,2,1,4,20,1.2451491831034955
4491,11.017665999999998,7.589551,25.63793,2020,2,1,4,30,1.1264544078961987
4492,12.432372,7.654003,25.35321,2020,2,1,4,40,1.1893075580605625
4493,10.044152,7.822761,25.37947,2020,2,1,4,50,1.1807776288403213
4494,11.372793,7.68104,25.76149,2020,2,1,5,0,1.1915917687610056
4495,13.644209,7.744991,25.77014,2020,2,1,5,10,1.2215150935144463
4496,10.439784,7.8398438,25.649342,2020,2,1,5,20,1.40124527245541
4497,8.739341000000001,7.62769,26.58287,2020,2,1,5,30,1.3365509486359692
4498,7.374154999999999,7.304693,28.16134,2020,2,1,5,40,1.3249366581651267
4499,10.554999,7.0934057,28.989618,2020,2,1,5,50,1.3344993929274613
4500,12.417579,7.1146398,28.633812,2020,2,1,6,0,1.3002365400464646
4501,16.86898,7.613471,25.89999,2020,2,1,6,10,1.4292306902870604
4502,14.244165,7.724557,25.66399,2020,2,1,6,20,1.69496096018882
4503,15.877646,7.8109837,25.029451,2020,2,1,6,30,1.3924752201949717
4504,12.684631,7.8589644,24.498621,2020,2,1,6,40,1.0176127508295365
4505,12.43849,7.7728386,24.92177,2020,2,1,6,50,1.0272763381797705
4506,9.727184999999999,7.5172825,25.12484,2020,2,1,7,0,0.857087599263052
4507,12.184921,7.918415,20.79998,2020,2,1,7,10,0.8581572545790106
4721,19.15482,8.536446,11.038804,2020,2,2,18,50,-0.17954541384720288
4722,20.78453,8.437141,9.71367,2020,2,2,19,0,-0.20673208417410024
4723,22.22416,8.648938,8.1213455,2020,2,2,19,10,-0.32664468558240556
4724,23.5704,8.811834,7.85243,2020,2,2,19,20,-0.21644544555791986
4725,20.382834,8.829976,7.948078,2020,2,2,19,30,-0.11516770860756474
4726,21.76371,8.847113,7.969614,2020,2,2,19,40,-0.2446977116491958
4727,22.27116,8.822152,8.133126,2020,2,2,19,50,-0.22063200201388478
4728,19.007087,8.685077,8.861705,2020,2,2,20,0,-0.20744390876789287
4729,20.527217,8.668713,8.978894,2020,2,2,20,10,-0.2879330843447872
4730,23.96384,8.890578,8.774793,2020,2,2,20,20,-0.5059417360513647
4731,23.74345,9.043166,8.237986,2020,2,2,20,30,-0.32876553906138034
4732,21.35418,9.038706,8.21864,2020,2,2,20,40,-0.3081649310528248
4733,22.531190000000002,8.904914,8.525335,2020,2,2,20,50,-0.3293029971428815
4734,25.167399999999997,8.848037,8.810253,2020,2,2,21,0,-0.541497103627279
4735,20.02583,8.635643,9.101337,2020,2,2,21,10,-0.5904844182155359
4736,22.86119,8.733166,9.234458,2020,2,2,21,20,-0.8933212673264658
4737,24.835210000000004,8.884665,9.100781,2020,2,2,21,30,-0.9108058016435854
4738,24.409540000000003,8.9894705,8.9596,2020,2,2,21,40,-0.8232156684032251
4739,23.87343,8.9551,9.132532,2020,2,2,21,50,-0.7332708895265506
4740,24.20218,8.777968,9.348159,2020,2,2,22,0,-0.7653763757345152
4741,24.86041,8.695436,9.495802,2020,2,2,22,10,-0.8446679882011877
4742,21.956370000000003,8.615237,9.511914,2020,2,2,22,20,-0.7337040587114994
4743,20.980999999999998,8.412177,9.620426,2020,2,2,22,30,-0.5386572725627837
4744,20.201,8.234394,9.647528,2020,2,2,22,40,-0.3544672985484266
4745,20.29795,7.970896,9.784689,2020,2,2,22,50,-0.4432311151537475
4746,21.87015,7.948151,9.309824,2020,2,2,23,0,-0.4547233229727062
4747,19.802301,7.939411,9.102863,2020,2,2,23,10,-0.33204792070978995
4748,23.08329,7.8211184,9.296707,2020,2,2,23,20,-0.38674438073359274
4749,23.32505,7.640328,9.812753,2020,2,2,23,30,-0.3866404675356571
4750,24.956390000000003,7.519496,10.168854,2020,2,2,23,40,-0.23090891799988614
4751,25.51165,7.530243,10.179503,2020,2,2,23,50,-0.221086844257496
4752,25.855610000000002,7.7547274,9.84766,2020,2,3,0,0,-0.271430533277515
4753,25.229969999999998,7.675001,10.54722,2020,2,3,0,10,0.04145802750250552
4754,27.3231,7.4128003,11.17134,2020,2,3,0,20,0.06851589500665575
4755,27.35436,7.117931,11.03264,2020,2,3,0,30,0.1661244218913834
4757,30.147190000000002,6.5724125,15.23728,2020,2,3,0,50,0.07584351879242499
4758,30.94642,6.4361043,20.27482,2020,2,3,1,0,0.2969282569372223
4759,31.83991,6.4442964,20.82488,2020,2,3,1,10,0.30954140680467446
4760,36.97022,6.4533176,21.682371,2020,2,3,1,20,0.3569666660895701
4761,35.97925,6.430739,21.9527,2020,2,3,1,30,0.2642257786376382
5157,37.77928,9.4203615,6.773934,2020,2,5,19,30,-0.21953894461077092
5158,38.48673,9.334367,6.393811,2020,2,5,19,40,-0.24819512255329826
5159,35.28308,9.247991,6.8628025,2020,2,5,19,50,0.05053653753106162
5160,35.432249999999996,9.26502,7.7371306,2020,2,5,20,0,-0.14903925563783435
5161,35.319160000000004,9.296331,7.995431,2020,2,5,20,10,-0.24948752665381171
5162,35.13956,9.261481,7.794505,2020,2,5,20,20,-0.13416352515130503
5163,34.81827,9.412178,7.275402,2020,2,5,20,30,-0.13832268448622081
5164,32.79293,9.418048,6.5210686,2020,2,5,20,40,-0.15313746780976267
5165,32.948139999999995,9.4997635,6.720101,2020,2,5,20,50,-0.20370142728448876
5166,33.6169,9.600598,7.640639,2020,2,5,21,0,-0.1342707134738903
5167,30.751109999999997,9.685862,7.77052,2020,2,5,21,10,-0.06905537344015787
5179,9.736379000000001,9.615316,0.80180776,2020,2,5,23,10,-0.10269739823834262
5180,9.978954,9.510268,1.1076888,2020,2,5,23,20,-0.16000004572727367
5181,14.991096,9.567642,0.5657906,2020,2,5,23,30,-0.09274758370727801
5182,16.599532,9.541587,0.78172636,2020,2,5,23,40,-0.041281658973303874
